"trap_no","area_type","bus","fun","hyd","immi","mel","obs","sub","suz","tris","simpsons_index","shannon_index","berger_parker_index","mcIntosh_index","lat","long"
"D10","N",2,3,1,32,32,6,6,75,3,0.6965625,1.48081264011963,0.46875,0.487704839559074,50.16986,-5.122571
"D11","N",0,3,0,23,33,3,9,68,2,0.680851063829787,1.38719514047821,0.482269503546099,0.475075927645914,50.169545,-5.125654
"D12","N",0,3,0,40,27,9,12,121,7,0.640270219553387,1.35553502448886,0.552511415525114,0.429229893531744,50.17089,-5.120451
"D2","U",3,0,2,78,60,1,2,44,1,0.680957210602779,1.28339001602693,0.408376963350785,0.469104480251236,50.172144,-5.121983
"D3","U",0,0,4,285,49,1,3,68,3,0.482408878518371,0.936953679855828,0.690072639225182,0.295081975244552,50.172952,-5.123913
"D4","U",0,1,0,87,27,1,4,19,1,0.557244897959184,1.09156299579711,0.621428571428571,0.365491189823905,50.172153,-5.119304
"D5","U",1,1,4,79,38,4,2,24,1,0.650025299375949,1.32159808557644,0.512987012987013,0.444208766432977,50.17101,-5.12081
"D6","U",1,2,4,44,43,4,5,19,3,0.730112,1.56431401610516,0.352,0.527690625331488,50.171159,-5.121513
"D8","N",0,0,0,49,9,3,1,8,0,0.478367346938776,0.956986884865221,0.7,0.315463716826384,50.17171,-5.11824
"D9","N",2,0,0,70,13,1,1,4,1,0.398393194706994,0.851457268396273,0.760869565217391,0.250481318559234,50.17011,-5.1212
